,عنوان,مدرس,آموزشگاه,لینک,قیمت,ساعت,جلسات
4,آموزش جنگو (Django 2.2),سید حامد مقیمی,دانشگاه صنعتی شریف,https://maktabkhooneh.org/course/%D8%A2%D9%85%D9%88%D8%B2%D8%B4-%D8%AC%D9%86%DA%AF%D9%88-django-mk623/,319000,0,206
41,آموزش جنگو Django,علی بیگدلی,مکتب‌خونه,https://maktabkhooneh.org/course/%D8%A2%D9%85%D9%88%D8%B2%D8%B4-%D8%AC%D9%86%DA%AF%D9%88-mk1287/,449000,0,358
19,آموزش درک برنامه نویسی,جادی میرمیرانی,مکتب‌خونه,https://maktabkhooneh.org/course/%D8%A2%D9%85%D9%88%D8%B2%D8%B4-%D8%B1%D8%A7%DB%8C%DA%AF%D8%A7%D9%86-%D8%AF%D8%B1%DA%A9-%D8%A8%D8%B1%D9%86%D8%A7%D9%85%D9%87-%D9%86%D9%88%DB%8C%D8%B3%DB%8C-mk1019/,89000,0,100
13,آموزش رایگان C# پیش‌مقدماتی,امیررضا تابش‌فرد,مکتب‌خونه,https://maktabkhooneh.org/course/%D8%A2%D9%85%D9%88%D8%B2%D8%B4-%D8%B1%D8%A7%DB%8C%DA%AF%D8%A7%D9%86-%D8%B3%DB%8C-%D8%B4%D8%A7%D8%B1%D9%BE-mk1312/,0,0,56
60,آموزش رایگان Javascript پروژه ‌محور,علی شیخ,وب ‌پروگ,https://maktabkhooneh.org/course/%D8%A2%D9%85%D9%88%D8%B2%D8%B4-%D8%B1%D8%A7%DB%8C%DA%AF%D8%A7%D9%86-Javascript-%D9%BE%D8%B1%D9%88%DA%98%D9%87-%D9%85%D8%AD%D9%88%D8%B1-mk1056/,0,0,74
2,آموزش رایگان Node.js پروژه محور,علی شیخ,وب ‌پروگ,https://maktabkhooneh.org/course/%D8%A2%D9%85%D9%88%D8%B2%D8%B4-%D8%B1%D8%A7%DB%8C%DA%AF%D8%A7%D9%86-Nodejs-mk1064/,0,0,44
66,آموزش رایگان NumPy,حمید دانشجو,مکتب‌خونه,https://maktabkhooneh.org/course/%D8%A2%D9%85%D9%88%D8%B2%D8%B4-%D8%B1%D8%A7%DB%8C%DA%AF%D8%A7%D9%86-NumPy-mk1215/,0,0,34
73,آموزش رایگان PHP و MySQL پروژه‌محور,علی شیخ,وب ‌پروگ,https://maktabkhooneh.org/course/%D8%A2%D9%85%D9%88%D8%B2%D8%B4-%D8%B1%D8%A7%DB%8C%DA%AF%D8%A7%D9%86-php-%D9%88-mysql-%D9%BE%D8%B1%D9%88%DA%98%D9%87-%D9%85%D8%AD%D9%88%D8%B1-mk1074/,0,0,94
61,آموزش رایگان Pandas,حمید دانشجو,مکتب‌خونه,https://maktabkhooneh.org/course/%D8%A2%D9%85%D9%88%D8%B2%D8%B4-%D8%B1%D8%A7%DB%8C%DA%AF%D8%A7%D9%86-Pandas-mk1214/,0,0,22
58,آموزش رایگان Regex در پایتون,حمید دانشجو,مکتب‌خونه,https://maktabkhooneh.org/course/%D8%A2%D9%85%D9%88%D8%B2%D8%B4-%D8%B1%D8%A7%DB%8C%DA%AF%D8%A7%D9%86-Regex-%D9%BE%D8%A7%DB%8C%D8%AA%D9%88%D9%86-mk1213/,0,0,16
12,آموزش رایگان Regular Expression,وحید نائینی,مکتب‌خونه,https://maktabkhooneh.org/course/%D8%A2%D9%85%D9%88%D8%B2%D8%B4-%D8%B1%D8%A7%DB%8C%DA%AF%D8%A7%D9%86-Regular-Expression-mk1006/,0,0,10
6,آموزش رایگان Sqlite در پایتون,علی بیگدلی,مکتب‌خونه,https://maktabkhooneh.org/course/%D8%A2%D9%85%D9%88%D8%B2%D8%B4-%D8%B1%D8%A7%DB%8C%DA%AF%D8%A7%D9%86-Sqlite-%D9%BE%D8%A7%DB%8C%D8%AA%D9%88%D9%86-mk1149/,0,0,22
69,آموزش رایگان make file,وحید نائینی,مکتب‌خونه,https://maktabkhooneh.org/course/%D8%A2%D9%85%D9%88%D8%B2%D8%B4-%D8%B1%D8%A7%DB%8C%DA%AF%D8%A7%D9%86-make-file-mk1008/,0,0,6
53,آموزش رایگان آشنایی با ساختار زبان‌های برنامه‌سازی,حمید دانشجو,مکتب‌خونه,https://maktabkhooneh.org/course/%D8%A2%D9%85%D9%88%D8%B2%D8%B4-%D8%B1%D8%A7%DB%8C%DA%AF%D8%A7%D9%86-%D8%A2%D8%B4%D9%86%D8%A7%DB%8C%DB%8C-%D8%B3%D8%A7%D8%AE%D8%AA%D8%A7%D8%B1-%D8%B2%D8%A8%D8%A7%D9%86-%D8%A8%D8%B1%D9%86%D8%A7%D9%85%D9%87-%D8%B3%D8%A7%D8%B2%DB%8C-mk1212/,0,0,6
65,آموزش رایگان برنامه‌نويسي پيشرفته (جاوا),رحیم دهخوارقانی,دانشگاه بناب,https://maktabkhooneh.org/course/%D8%A2%D9%85%D9%88%D8%B2%D8%B4-%D8%B1%D8%A7%DB%8C%DA%AF%D8%A7%D9%86-%D8%A8%D8%B1%D9%86%D8%A7%D9%85%D9%87-%D9%86%D9%88%D9%8A%D8%B3%D9%8A-%D9%BE%D9%8A%D8%B4%D8%B1%D9%81%D8%AA%D9%87-%D8%AC%D8%A7%D9%88%D8%A7-mk1028/,0,0,46
21,آموزش رایگان توابع در پایتون,حمید دانشجو,مکتب‌خونه,https://maktabkhooneh.org/course/%D8%A2%D9%85%D9%88%D8%B2%D8%B4-%D8%B1%D8%A7%DB%8C%DA%AF%D8%A7%D9%86-%D8%AA%D9%88%D8%A7%D8%A8%D8%B9-%D9%BE%D8%A7%DB%8C%D8%AA%D9%88%D9%86-mk1208/,0,0,38
7,آموزش رایگان جاوا پیشرفته,محمود فرخیان,مکتب‌خونه,https://maktabkhooneh.org/course/%D8%A2%D9%85%D9%88%D8%B2%D8%B4-%D8%B1%D8%A7%DB%8C%DA%AF%D8%A7%D9%86-%D8%AC%D8%A7%D9%88%D8%A7-%D9%BE%DB%8C%D8%B4%D8%B1%D9%81%D8%AA%D9%87-mk1058/,0,0,54
